brute,dp,bnb
398856.047,3219.582,2419.128
399372.214,3143.03,2489.21
399280.848,3463.475,2523.731
403898.735,3382.502,2550.164
389091.843,3514.892,2508.356
383537.401,3159.239,2559.705
389056.651,3113.299,2434.711
397520.577,3224.656,2384.675
386427.712,3270.241,2404.636
402751.706,3297.051,2453.103
405789.82,3190.237,2475.772
404784.637,3327.067,2531.661
402752.724,3322.956,2531.284
402107.787,3327.411,2472.159
395245.995,3381.869,2584.643
394813.798,3162.434,2513.629
399823.106,3314.147,2467.676
406402.782,3367.061,2477.429
402181.23,3310.745,2419.145
409354.976,3321.97,2500.698
400610.868,3586.072,2473.58
399888.362,3327.731,2467.67
407690.234,3204.224,2448.115
402497.179,3442.541,2440.164
403587.877,3639.397,2487.595
405547.869,3340.503,2446.606
404261.689,3347.41,2497.137
403761.595,3571.612,2437.617
448269.895,3143.96,2522.622
404451.226,3277.037,2476.65
460656.981,3373.006,2459.106
428448.592,3212.872,2691.093
414435.77,3302.935,2493.102
412253.7,3343.837,2412.338
408339.732,3449.082,2564.594
408349.844,3377.349,2464.324
389145.024,3313.917,2534.206
385039.661,3146.189,2621.122
402478.057,3455.187,2432.206
399255.302,3208.165,2580.64
402928.414,3303.792,2467.117
408733.472,3516.453,2538.184
402100.776,3339.268,2480.639
391899.811,3126.212,2514.631
